,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
5343,2.0,1,37,4.0,10,0,0,52,0
5344,2.0,1,35,4.0,7,0,0,81,0
5345,3.0,1,42,1.0,4,0,0,58,0
5346,2.0,1,31,2.0,6,1,0,48,0
5347,2.0,1,40,4.0,10,0,0,52,0
5348,2.0,3,39,1.0,12,0,0,50,0
5349,2.0,3,29,3.0,5,0,0,58,0
5350,2.0,1,42,5.0,15,1,0,59,0
5351,2.0,1,30,4.0,3,0,0,78,0
5352,2.0,2,31,3.0,5,1,0,48,0
5353,2.0,1,37,3.0,8,0,0,64,0
5354,3.0,1,36,3.0,10,0,0,71,0
5355,2.0,2,36,4.0,3,1,0,59,0
5356,3.0,1,41,3.0,6,0,0,93,1
5358,2.0,1,53,1.0,12,0,0,49,0
5359,2.0,1,45,3.0,11,0,0,55,0
5361,2.0,1,29,2.0,2,0,0,51,0
5362,3.0,2,33,5.0,3,1,0,83,0
5363,3.0,2,37,5.0,5,1,0,73,0
5364,2.0,2,29,1.0,4,0,0,72,0
5366,2.0,2,26,5.0,4,0,0,55,0
5367,2.0,2,32,3.0,7,0,0,46,0
5368,3.0,1,32,4.0,2,0,0,85,1
5369,2.0,1,32,5.0,2,1,0,61,0
5370,2.0,1,35,5.0,9,1,0,85,0
5371,2.0,4,35,3.0,5,0,0,50,0
5372,2.0,3,33,4.0,3,0,0,67,0
5373,3.0,2,49,3.0,2,0,0,68,0
5374,3.0,1,55,5.0,13,0,0,53,0
5375,2.0,1,28,3.0,2,0,0,89,0
5376,3.0,1,34,3.0,6,1,0,57,0
5377,3.0,1,47,3.0,7,0,0,52,0
5378,3.0,1,44,3.0,7,1,0,75,0
5380,2.0,1,41,3.0,3,0,0,51,0
5381,2.0,2,32,5.0,4,0,0,61,0
5384,2.0,1,30,3.0,2,0,0,62,0
5386,3.0,1,59,3.0,12,0,0,79,0
5387,2.0,1,48,3.0,14,1,0,85,0
5388,2.0,1,33,3.0,6,0,0,51,0
5389,3.0,1,58,4.0,11,0,0,68,0
5390,3.0,1,31,3.0,3,0,0,69,0
5391,3.0,1,32,3.0,5,0,0,56,0
5392,3.0,1,48,4.0,19,1,0,81,0
5394,3.0,1,58,4.0,6,0,0,50,0
5395,2.0,1,29,3.0,6,1,0,78,1
5396,2.0,3,30,5.0,5,1,0,61,0
5397,3.0,1,48,5.0,4,1,0,59,0
5398,2.0,1,29,3.0,4,0,0,78,0
5399,2.0,1,34,3.0,7,0,0,49,0
5401,3.0,2,60,4.0,5,0,0,78,0
5403,3.0,2,32,4.0,5,1,0,88,0
5404,3.0,1,47,5.0,7,1,0,81,0
5405,2.0,1,30,3.0,4,0,0,48,0
5406,2.0,1,52,4.0,3,1,0,46,0
5407,2.0,1,30,3.0,4,1,0,77,0
5408,3.0,1,41,1.0,6,1,0,51,0
5409,3.0,1,37,3.0,10,1,0,84,1
5410,3.0,1,31,3.0,6,0,0,77,0
5411,3.0,1,44,3.0,12,0,0,54,0
5412,3.0,1,38,3.0,3,1,0,69,0
5413,2.0,1,31,3.0,2,1,0,50,0
5414,2.0,1,37,4.0,5,1,0,59,0
5415,2.0,1,31,4.0,8,0,0,87,0
5416,2.0,1,40,3.0,4,0,0,84,0
5417,2.0,1,48,3.0,7,1,0,63,0
5418,3.0,1,59,3.0,18,0,0,70,0
5419,2.0,1,36,3.0,5,0,0,47,0
5420,3.0,1,39,3.0,13,0,0,70,0
5422,2.0,2,32,3.0,6,0,0,77,0
5423,2.0,1,27,5.0,3,0,0,58,0
5425,2.0,1,29,3.0,2,0,0,54,0
5426,3.0,1,44,5.0,7,1,0,84,0
5427,2.0,2,28,2.0,3,0,0,51,0
5428,3.0,1,59,3.0,17,0,0,81,0
5429,2.0,4,32,3.0,7,0,0,60,0
5430,2.0,1,31,5.0,7,1,0,50,0
5431,2.0,1,32,5.0,3,1,0,80,0
5434,2.0,1,28,3.0,6,1,0,70,0
5435,3.0,1,45,4.0,7,1,0,95,1
5438,2.0,1,44,1.0,6,0,0,48,0
5439,3.0,1,50,5.0,7,0,0,59,1
5440,2.0,1,31,3.0,7,0,0,64,0
5441,2.0,1,37,2.0,2,1,0,66,0
5442,3.0,1,31,3.0,5,1,0,82,0
5443,2.0,2,38,5.0,3,1,0,57,1
5444,2.0,1,25,1.0,3,0,0,53,0
5445,2.0,1,59,2.0,20,0,0,66,0
5446,3.0,1,37,5.0,8,1,0,58,0
5447,3.0,1,38,4.0,7,1,0,70,1
5449,2.0,1,37,5.0,3,0,0,62,1
5450,2.0,3,31,1.0,5,0,0,46,0
5451,2.0,1,35,5.0,3,1,0,59,1
5452,2.0,1,52,2.0,25,0,0,47,0
5453,3.0,1,37,4.0,12,0,0,60,0
5454,3.0,1,36,5.0,8,1,0,76,1
5455,2.0,1,29,1.0,3,0,0,63,0
5456,3.0,1,39,3.0,12,0,0,66,0
5457,3.0,1,33,1.0,3,0,0,81,0
5458,3.0,1,56,3.0,7,1,0,69,0
5459,3.0,1,43,2.0,5,1,0,58,0
5460,2.0,1,33,5.0,3,0,0,58,0
5461,2.0,1,31,5.0,6,0,0,49,0
5462,2.0,1,37,1.0,5,0,0,49,0
5463,3.0,1,42,5.0,4,0,0,53,0
5464,2.0,1,29,5.0,4,0,0,51,0
5465,2.0,1,32,1.0,5,0,0,73,0
5466,3.0,1,41,3.0,11,0,0,70,0
5467,2.0,1,27,5.0,3,0,0,52,0
5468,2.0,1,30,3.0,3,0,0,67,0
5469,2.0,1,30,3.0,5,1,0,62,0
5470,2.0,1,26,3.0,2,0,0,58,1
5471,2.0,1,33,4.0,7,1,0,57,1
5473,2.0,1,38,5.0,8,1,0,52,0
5474,1.0,2,24,5.0,2,1,0,62,1
5475,2.0,1,27,5.0,4,0,0,48,0
5477,2.0,2,25,4.0,2,1,0,79,0
5478,2.0,1,36,4.0,7,1,0,70,0
5479,2.0,2,26,3.0,2,0,0,79,0
5480,2.0,1,29,4.0,2,0,0,60,0
5481,2.0,1,28,1.0,2,0,0,61,0
5482,2.0,1,38,1.0,4,0,0,61,0
5483,2.0,1,45,4.0,15,1,0,60,0
5484,2.0,2,30,2.0,2,0,0,70,0
5487,3.0,1,35,5.0,10,1,0,81,0
5488,2.0,2,25,3.0,2,0,0,46,0
5489,3.0,1,35,4.0,3,1,0,57,0
5490,2.0,2,32,3.0,7,0,0,78,0
5491,2.0,1,30,4.0,7,0,0,49,0
5492,3.0,2,33,3.0,9,0,0,53,0
5493,2.0,1,38,3.0,11,0,0,43,0
5494,2.0,1,32,1.0,4,0,0,47,0
5495,3.0,1,36,3.0,10,1,0,74,1
5496,2.0,1,30,3.0,5,0,0,79,0
5497,3.0,1,35,4.0,8,1,0,44,0
5498,3.0,1,44,4.0,19,0,0,76,0
5499,3.0,1,36,1.0,7,0,0,50,0
5500,3.0,1,41,3.0,5,1,0,61,0
5501,3.0,1,31,1.0,4,0,0,81,0
5502,2.0,1,25,1.0,2,0,0,48,0
5503,2.0,1,32,4.0,6,0,0,54,0
5504,2.0,1,31,4.0,4,1,0,60,0
5505,3.0,2,45,2.0,18,0,0,45,0
5506,2.0,1,48,3.0,5,0,0,48,0
5507,3.0,1,45,5.0,7,1,0,61,0
5508,3.0,1,33,5.0,6,0,0,62,0
5509,2.0,1,33,4.0,7,1,0,56,1
5510,2.0,1,25,3.0,2,1,0,48,0
5511,2.0,1,36,5.0,4,1,0,44,0
5512,2.0,2,31,3.0,3,0,0,52,0
5513,2.0,1,40,3.0,4,1,0,49,0
5514,2.0,1,29,4.0,5,0,0,82,0
5515,3.0,1,31,1.0,2,0,0,83,0
5516,2.0,1,32,5.0,2,1,0,54,0
5517,2.0,1,32,4.0,4,0,0,57,0
5518,2.0,1,35,3.0,5,1,0,59,0
5519,2.0,1,24,3.0,2,0,0,52,0
5520,3.0,2,33,2.0,5,0,0,48,0
5521,3.0,1,45,5.0,19,1,0,71,0
5522,2.0,1,29,1.0,5,0,0,48,0
5523,2.0,4,34,4.0,7,1,0,56,1
5524,3.0,1,45,3.0,16,1,0,78,1
5525,3.0,1,35,2.0,10,0,0,52,0
5526,3.0,1,34,4.0,6,0,0,47,0
5527,3.0,1,33,4.0,10,0,0,79,0
5528,2.0,1,34,3.0,2,1,0,84,0
5529,3.0,2,34,4.0,4,0,0,61,0
5530,2.0,1,33,4.0,3,0,0,49,0
5531,3.0,1,43,3.0,4,0,0,79,0
5533,2.0,1,34,1.0,2,0,0,58,0
5534,2.0,1,31,4.0,5,1,0,58,0
5536,2.0,1,32,3.0,7,0,0,47,0
5538,2.0,1,36,5.0,2,1,0,41,0
5539,2.0,1,20,3.0,2,1,0,76,0
5540,2.0,1,36,5.0,5,0,0,49,0
5542,3.0,1,36,5.0,5,1,0,65,0
5543,3.0,1,38,4.0,10,0,0,57,0
5544,2.0,1,27,5.0,4,0,0,47,0
5545,3.0,1,36,3.0,7,0,0,83,0
5546,2.0,1,42,2.0,14,0,0,54,0
5548,2.0,1,30,3.0,7,0,0,51,0
5549,2.0,1,25,1.0,2,0,0,51,0
5551,3.0,2,37,5.0,8,1,0,69,0
5552,3.0,1,39,3.0,6,0,0,52,0
5553,2.0,1,30,4.0,1,0,0,90,1
5554,1.0,1,22,2.0,2,0,0,64,0
5555,3.0,1,39,4.0,6,0,0,62,0
5557,2.0,1,31,3.0,1,0,0,56,0
5558,2.0,1,25,1.0,3,0,0,61,0
5560,2.0,1,31,1.0,5,0,0,86,0
5561,3.0,1,45,5.0,3,1,1,90,1
5562,2.0,1,31,5.0,3,1,0,72,0
5563,2.0,1,56,2.0,11,0,0,48,0
5564,2.0,1,28,4.0,2,1,0,68,0
5565,2.0,1,44,1.0,15,0,0,48,0
5566,2.0,1,35,4.0,7,0,0,61,0
5567,2.0,1,25,1.0,2,0,0,73,0
5568,2.0,1,27,2.0,3,0,0,79,0
5569,2.0,1,35,4.0,4,0,0,58,0
5570,2.0,1,27,4.0,4,0,0,56,0
5571,2.0,1,27,4.0,4,0,0,57,0
5572,2.0,1,27,3.0,3,1,0,87,1
5573,2.0,4,34,3.0,4,0,0,67,0
5574,2.0,2,31,5.0,3,1,0,59,0
5575,2.0,1,31,1.0,5,1,0,70,0
5576,2.0,1,40,3.0,8,0,0,44,0
5578,3.0,1,35,1.0,10,0,0,81,0
5579,2.0,1,36,3.0,9,0,0,74,0
5580,3.0,1,57,5.0,15,0,0,64,0
5581,2.0,2,33,4.0,10,1,0,69,0
5582,2.0,1,29,4.0,1,1,0,78,1
5583,2.0,2,29,3.0,4,0,0,81,0
5584,2.0,1,31,3.0,3,0,0,84,0
5585,3.0,2,38,1.0,7,0,0,88,0
5586,2.0,2,25,5.0,2,1,0,86,0
5587,3.0,1,35,5.0,2,1,0,51,0
5588,2.0,1,29,5.0,3,1,0,59,1
5589,3.0,1,39,3.0,11,1,1,93,1
5590,2.0,1,29,3.0,3,0,0,49,0
5591,2.0,1,36,4.0,3,0,0,57,0
5592,3.0,2,32,2.0,2,0,0,82,0
5593,2.0,1,30,5.0,6,0,0,45,0
5594,2.0,2,32,4.0,4,0,0,48,0
5595,2.0,1,30,3.0,4,1,0,56,1
5596,2.0,1,33,3.0,6,0,0,54,0
5597,2.0,1,27,2.0,5,1,0,57,0
5598,3.0,1,54,5.0,14,1,0,67,0
5599,2.0,1,36,5.0,3,1,0,64,1
5600,3.0,1,45,2.0,14,0,0,49,0
5601,3.0,1,38,3.0,4,0,0,85,0
5602,2.0,1,45,1.0,5,0,0,59,0
5604,2.0,1,48,5.0,2,1,0,59,0
5605,2.0,2,31,2.0,4,1,0,76,0
5606,2.0,1,30,4.0,2,0,0,82,0
5607,3.0,1,41,3.0,7,0,0,67,0
5608,3.0,1,35,5.0,6,0,1,94,1
5611,2.0,2,43,3.0,13,0,0,47,0
5612,3.0,1,34,5.0,4,1,1,72,0
5613,2.0,1,32,1.0,8,0,0,53,0
5614,2.0,1,31,5.0,2,1,1,54,0
5616,2.0,1,43,3.0,5,0,0,64,0
5617,2.0,1,32,3.0,5,0,0,65,0
5618,3.0,1,34,4.0,8,1,0,60,0
5619,2.0,1,41,3.0,16,1,0,51,0
5620,1.0,1,23,1.0,2,0,0,61,0
5621,3.0,1,37,2.0,9,0,0,51,0
5622,3.0,1,36,2.0,3,0,0,75,0
5623,3.0,1,35,3.0,9,1,0,63,0
5624,2.0,2,33,5.0,4,1,0,84,0
5625,2.0,1,41,5.0,11,0,0,48,0
5628,3.0,1,43,2.0,6,0,0,57,0
5630,2.0,1,38,5.0,5,0,0,60,0
5631,3.0,1,55,3.0,16,0,0,60,0
5632,2.0,1,41,3.0,15,0,0,86,0
5633,2.0,1,35,4.0,9,0,0,93,1
5634,2.0,1,28,3.0,3,0,0,83,0
5635,3.0,2,38,3.0,6,1,0,85,0
5636,2.0,1,26,5.0,4,1,0,84,1
5637,2.0,1,27,5.0,4,1,0,60,0
5641,2.0,1,40,3.0,7,0,0,61,0
5642,2.0,2,29,4.0,2,1,0,80,0
5643,2.0,1,43,3.0,5,0,0,76,0
5644,2.0,1,50,1.0,19,1,0,68,0
5645,2.0,1,28,1.0,3,0,0,77,0
5646,2.0,2,25,3.0,3,0,0,50,0
5647,2.0,1,29,5.0,6,1,0,59,0
5648,2.0,1,25,5.0,3,0,0,51,0
5649,2.0,1,33,2.0,6,0,0,52,0
5650,2.0,1,28,3.0,2,0,0,81,0
5651,2.0,1,26,3.0,2,1,0,84,0
5652,3.0,2,43,5.0,16,1,0,59,0
5653,2.0,1,33,2.0,7,0,0,48,0
5654,3.0,1,40,3.0,10,1,0,60,0
5655,2.0,1,37,3.0,4,1,0,88,0
5656,2.0,1,30,5.0,4,1,0,53,0
5657,2.0,1,23,1.0,2,0,0,59,0
5658,3.0,1,28,1.0,4,0,0,50,0
5659,2.0,1,27,3.0,3,1,0,58,0
5660,3.0,2,36,3.0,3,0,0,65,1
5662,2.0,1,33,2.0,6,0,0,54,0
5663,2.0,6,31,3.0,9,0,0,81,0
5664,2.0,1,30,2.0,2,0,0,47,0
5665,3.0,1,40,5.0,5,0,0,55,0
5666,2.0,1,40,1.0,9,0,0,82,0
5667,3.0,1,36,3.0,4,0,0,55,0
5668,2.0,1,35,1.0,8,0,0,81,0
5669,2.0,2,33,3.0,6,1,0,83,0
5670,3.0,1,37,3.0,6,0,0,46,0
5671,3.0,1,40,3.0,3,0,0,49,0
5672,2.0,1,42,5.0,13,1,0,49,0
5674,3.0,1,34,5.0,8,0,0,52,0
5675,3.0,1,34,4.0,7,1,0,59,0
5676,3.0,1,36,5.0,4,1,0,47,1
5678,2.0,1,31,4.0,4,1,0,62,0
5679,2.0,2,34,5.0,2,1,0,61,0
5680,2.0,1,36,2.0,10,0,1,51,0
5681,2.0,1,32,4.0,4,0,0,83,0
5682,2.0,1,34,5.0,8,0,0,49,0
5683,2.0,1,41,5.0,6,1,0,68,0
5684,3.0,3,38,1.0,5,0,0,52,0
5685,3.0,1,48,5.0,21,1,0,63,1
5686,2.0,1,32,4.0,3,0,0,69,1
5687,2.0,1,34,3.0,2,0,0,62,0
5688,3.0,1,45,3.0,16,0,0,60,0
5689,3.0,1,56,3.0,18,0,0,49,0
5690,2.0,1,31,2.0,4,0,0,52,0
5691,3.0,1,33,3.0,9,0,0,47,0
5692,2.0,2,32,4.0,4,0,0,49,0
5693,3.0,1,48,3.0,7,1,0,58,1
5694,2.0,3,31,2.0,3,1,0,48,0
5695,2.0,2,34,3.0,9,0,0,50,0
5696,2.0,1,32,3.0,4,0,0,61,0
5697,2.0,1,32,2.0,6,1,1,84,0
5698,2.0,1,33,3.0,5,1,1,60,0
5699,3.0,1,33,3.0,7,1,0,45,0
5701,2.0,1,27,3.0,3,0,0,61,0
5702,3.0,1,39,5.0,6,1,0,63,0
5703,2.0,1,24,3.0,2,0,0,50,0
5705,2.0,1,54,1.0,17,0,0,47,0
5706,2.0,1,33,1.0,2,1,0,48,0
5707,3.0,1,39,5.0,10,1,0,78,1
5708,3.0,1,41,3.0,10,0,0,82,0
5709,2.0,1,33,4.0,9,0,0,69,0
5710,2.0,1,36,1.0,9,0,0,68,0
5711,2.0,1,47,3.0,6,0,0,47,0
5713,1.0,1,21,5.0,2,0,0,50,0
5714,2.0,1,33,2.0,8,0,0,56,0
5715,3.0,1,49,5.0,15,0,0,69,0
5716,2.0,1,48,4.0,18,0,0,59,0
5717,2.0,1,33,5.0,7,0,1,84,1
5718,2.0,1,31,3.0,4,1,0,73,0
5719,2.0,1,35,2.0,8,0,0,47,0
5720,2.0,2,37,3.0,13,0,0,56,0
5721,2.0,1,39,4.0,9,0,0,52,0
5722,3.0,1,34,5.0,3,1,0,53,0
5723,2.0,1,42,3.0,3,0,0,84,0
5724,2.0,1,29,3.0,3,0,0,74,0
5726,2.0,1,27,2.0,2,0,0,86,0
5727,3.0,1,43,5.0,6,0,0,58,0
5728,2.0,2,32,3.0,5,1,0,84,0
5729,3.0,1,34,3.0,7,0,0,84,0
5730,2.0,1,43,3.0,7,0,0,60,0
5731,3.0,1,60,3.0,18,1,0,63,0
5732,2.0,2,30,4.0,8,0,0,81,0
5733,3.0,1,45,5.0,7,1,0,62,1
5734,3.0,1,30,5.0,3,1,0,90,0
5735,2.0,2,33,2.0,4,0,0,57,0
5736,2.0,3,27,3.0,2,1,0,90,1
5737,3.0,1,32,5.0,5,0,0,95,1
5738,2.0,1,42,5.0,5,0,0,43,0
5739,3.0,2,34,4.0,3,0,0,67,1
5740,2.0,1,34,3.0,7,1,0,50,0
5741,2.0,2,33,5.0,2,0,0,60,0
5742,2.0,1,29,1.0,2,0,0,57,0
5743,3.0,1,43,2.0,15,1,0,67,1
5744,2.0,1,28,3.0,3,0,0,60,0
5745,2.0,1,34,5.0,7,1,0,82,0
5746,3.0,3,35,4.0,7,0,0,57,0
5747,2.0,1,56,5.0,24,0,0,55,0
5748,2.0,2,30,3.0,3,0,0,60,0
5749,2.0,2,27,3.0,4,0,0,80,0
5750,2.0,1,40,3.0,7,0,0,50,0
5751,2.0,1,37,3.0,5,0,0,51,0
5752,2.0,1,32,4.0,6,1,0,58,0
5753,2.0,1,34,5.0,7,0,0,66,0
5754,2.0,2,30,5.0,2,1,0,49,0
5755,2.0,2,36,4.0,4,1,0,67,0
5756,2.0,1,33,3.0,4,0,1,62,1
5759,2.0,1,29,2.0,2,0,0,78,0
5760,2.0,1,28,2.0,3,0,0,80,0
5761,2.0,1,34,4.0,9,0,0,61,0
5764,3.0,1,50,3.0,16,0,0,80,0
5765,2.0,1,37,4.0,8,1,0,48,0
5767,2.0,1,30,1.0,4,0,0,52,0
5768,2.0,1,24,3.0,2,0,0,48,0
5769,3.0,1,49,4.0,20,0,0,55,0
5770,2.0,1,27,5.0,4,0,0,49,0
5771,2.0,1,28,2.0,5,0,0,55,0
5772,2.0,1,28,2.0,3,0,0,45,0
5774,2.0,1,41,1.0,14,0,0,82,0
5775,2.0,5,29,3.0,6,0,0,46,0
5776,2.0,1,45,5.0,6,1,0,45,0
5777,3.0,1,33,3.0,4,1,0,64,0
5778,3.0,2,44,3.0,5,0,0,51,0
5779,3.0,1,42,3.0,5,1,0,51,1
5780,2.0,1,39,5.0,3,1,0,60,0
5781,3.0,2,35,1.0,7,0,0,66,0
5782,2.0,2,28,2.0,7,1,0,85,1
5783,2.0,1,37,4.0,3,0,0,72,0
5784,3.0,1,55,4.0,18,0,1,54,0
5785,2.0,1,35,4.0,5,1,0,62,0
5786,2.0,1,40,4.0,5,1,0,49,0
5787,2.0,1,32,1.0,7,0,0,64,0
5789,3.0,2,32,3.0,2,0,0,46,0
5790,2.0,2,48,3.0,21,0,0,80,0
5791,3.0,1,30,4.0,6,1,0,50,1
5792,3.0,1,32,1.0,6,0,0,56,0
5793,2.0,1,42,4.0,13,0,0,68,0
5794,2.0,2,33,3.0,9,0,0,63,0
5795,2.0,1,27,1.0,4,1,0,47,0
5797,3.0,1,53,3.0,15,0,0,92,1
5798,3.0,1,45,5.0,11,1,0,46,0
5799,3.0,1,50,4.0,7,0,0,44,0
5801,3.0,4,36,2.0,7,0,0,80,0
5802,3.0,1,33,3.0,7,1,0,61,1
5803,2.0,1,30,3.0,5,0,0,85,0
5804,3.0,1,43,4.0,4,1,0,51,0
5805,2.0,2,33,4.0,6,0,0,60,0
5806,2.0,2,30,3.0,3,0,0,69,0
5807,2.0,1,33,3.0,7,1,0,85,0
5808,3.0,1,53,4.0,7,1,1,61,0
5809,2.0,1,26,3.0,2,0,0,59,0
5810,2.0,1,34,2.0,7,0,0,77,0
5811,1.0,1,26,3.0,3,0,0,60,0
5812,2.0,1,35,4.0,3,0,0,58,0
5813,2.0,1,40,5.0,13,0,0,74,1
5814,3.0,1,35,3.0,6,0,1,59,1
5815,2.0,1,34,3.0,7,0,0,64,0
5816,2.0,1,39,5.0,8,1,0,52,1
5817,2.0,1,48,1.0,3,0,0,48,0
5818,2.0,1,30,2.0,4,0,0,84,0
5819,2.0,1,50,4.0,13,0,0,49,0
5820,2.0,3,30,3.0,2,0,0,49,0
5821,2.0,1,25,2.0,3,0,0,52,0
5822,2.0,1,34,5.0,7,1,0,62,0
5825,2.0,1,23,4.0,1,0,0,48,0
5826,2.0,1,30,2.0,2,0,0,78,0
5827,2.0,2,34,4.0,4,1,0,46,0
5828,2.0,1,31,5.0,6,1,0,88,0
5829,3.0,1,35,3.0,8,1,0,83,1
5830,2.0,1,42,3.0,5,0,0,55,0
5831,2.0,1,34,5.0,8,0,0,56,0
5832,2.0,1,32,2.0,3,0,0,69,0
5833,2.0,1,48,5.0,14,0,0,77,0
5834,3.0,1,39,5.0,10,1,0,67,0
5835,2.0,1,47,2.0,22,0,0,61,0
5836,2.0,1,26,2.0,3,0,0,57,0
5838,2.0,1,25,5.0,2,1,0,43,0
5839,2.0,1,46,4.0,18,0,0,82,0
5840,3.0,1,35,5.0,9,1,0,56,0
5841,2.0,2,34,1.0,3,1,0,54,0
5842,2.0,1,33,3.0,8,0,0,88,1
5843,2.0,2,33,3.0,8,0,0,55,0
5844,3.0,1,33,5.0,7,1,0,78,0
5845,2.0,1,30,3.0,2,0,0,62,0
5846,3.0,2,35,5.0,7,1,0,59,0
5848,2.0,1,33,5.0,9,1,0,59,0
5849,3.0,2,39,3.0,5,1,1,50,0
5851,3.0,1,53,5.0,13,0,1,73,1
5852,2.0,1,36,5.0,7,1,0,60,0
5853,3.0,1,43,4.0,5,0,0,71,0
5854,2.0,1,44,2.0,3,1,0,81,0
5855,2.0,1,31,5.0,4,0,0,50,0
5856,2.0,1,34,4.0,8,0,0,77,0
5857,2.0,1,26,1.0,2,1,0,50,0
5860,2.0,1,27,5.0,4,1,0,50,0
5861,2.0,1,44,3.0,5,0,0,62,0
5862,3.0,1,39,4.0,2,0,0,84,0
5863,2.0,1,28,3.0,2,1,0,59,0
5864,2.0,1,39,4.0,11,1,0,57,0
5865,2.0,1,30,1.0,6,0,0,48,0
5866,2.0,1,36,4.0,7,0,0,48,0
5867,3.0,1,37,2.0,7,0,0,48,0
5868,3.0,1,45,3.0,15,1,0,86,0
5869,3.0,1,33,5.0,5,1,0,89,1
5870,2.0,3,31,3.0,4,0,0,50,0
5871,2.0,1,32,5.0,7,0,0,82,0
5872,2.0,1,42,3.0,11,0,0,50,0
5873,2.0,1,29,3.0,3,0,0,52,0
5874,2.0,1,28,4.0,6,0,0,49,0
5875,1.0,1,20,1.0,2,0,0,74,0
5876,2.0,1,26,2.0,3,1,0,58,0
5877,2.0,1,25,3.0,2,1,0,82,0
5879,2.0,1,30,3.0,5,0,0,67,0
5880,2.0,1,33,3.0,4,0,0,87,0
5881,2.0,1,34,4.0,7,0,0,64,0
5882,2.0,1,33,4.0,9,1,0,52,0
5883,2.0,5,30,3.0,7,0,0,46,0
5884,3.0,1,41,1.0,15,0,0,88,0
5885,2.0,1,30,3.0,2,0,0,61,0
5886,2.0,2,28,3.0,2,1,0,47,0
5888,2.0,1,24,4.0,2,1,0,77,0
5892,2.0,2,30,3.0,2,0,0,47,0
5893,2.0,1,34,5.0,8,1,0,58,1
5894,2.0,1,43,3.0,9,0,1,59,1
5895,2.0,1,27,5.0,2,1,0,87,0
5896,2.0,2,29,3.0,4,1,0,84,0
5897,2.0,1,33,5.0,2,1,0,79,0
5898,2.0,1,30,5.0,4,0,0,74,1
5899,2.0,1,29,3.0,2,0,0,58,0
5900,3.0,1,38,4.0,3,1,0,81,0
5901,3.0,1,55,5.0,3,0,0,50,0
5902,2.0,2,28,3.0,2,0,0,83,0
5903,2.0,1,31,3.0,7,1,0,87,0
5904,3.0,1,44,3.0,14,1,0,48,0
5905,2.0,1,39,5.0,14,0,0,54,0
5907,2.0,2,33,3.0,3,0,0,70,0
5908,2.0,1,41,4.0,10,0,0,52,0
5909,2.0,1,34,5.0,4,1,0,58,0
5910,2.0,2,40,5.0,3,1,0,59,0
5911,2.0,1,41,3.0,7,0,0,84,0
5912,2.0,1,26,5.0,2,0,0,50,0
5913,2.0,2,30,4.0,6,0,0,80,0
5914,3.0,1,33,3.0,6,0,0,67,0
5915,2.0,1,57,4.0,27,0,0,51,0
5916,2.0,2,30,3.0,5,0,0,77,0
5917,3.0,1,32,5.0,3,1,0,50,0
5918,2.0,1,31,4.0,4,1,0,51,0
5919,3.0,1,47,4.0,5,1,0,79,0
5920,2.0,1,50,3.0,3,0,0,53,0
5921,2.0,3,30,1.0,3,0,0,51,0
5923,3.0,3,33,2.0,5,0,0,77,0
5924,3.0,1,33,5.0,8,0,0,61,0
5925,2.0,2,51,1.0,7,0,0,49,0
5926,2.0,1,35,3.0,2,1,0,55,0
5927,2.0,2,28,5.0,4,0,0,78,0
5928,2.0,1,27,5.0,3,0,0,96,1
5929,2.0,1,27,4.0,1,0,0,73,0
5930,2.0,1,30,1.0,4,0,0,70,0
5931,3.0,2,29,3.0,4,0,0,70,0
5932,2.0,2,33,5.0,5,1,0,82,0
5933,3.0,1,31,5.0,4,0,0,94,1
5934,2.0,1,33,1.0,6,0,0,77,0
5935,3.0,1,40,1.0,5,0,0,47,0
5936,3.0,3,36,1.0,9,0,0,52,0
5937,2.0,1,32,2.0,3,0,0,51,0
5938,3.0,1,51,4.0,10,0,0,52,0
5939,2.0,1,39,5.0,10,1,0,81,0
5940,2.0,1,46,3.0,15,0,0,60,0
5941,2.0,1,29,4.0,6,1,0,59,0
5942,2.0,3,55,3.0,6,0,0,71,0
5943,3.0,1,37,3.0,10,0,0,53,0
5944,2.0,1,38,5.0,5,1,0,54,0
5945,2.0,1,38,2.0,11,0,0,57,0
5946,2.0,1,28,3.0,5,1,0,72,0
5947,3.0,1,31,1.0,5,0,0,52,0
5948,2.0,1,50,1.0,6,0,0,78,0
5949,2.0,2,35,1.0,9,0,0,78,0
5950,2.0,1,30,5.0,5,1,0,57,0
5951,2.0,1,35,3.0,5,1,0,59,0
5952,2.0,1,26,1.0,3,1,0,86,0
5953,2.0,1,31,3.0,7,0,0,51,0
5954,2.0,1,35,3.0,2,1,0,83,0
5955,2.0,1,34,3.0,6,0,0,81,0
5956,2.0,1,37,2.0,7,0,0,45,0
5957,2.0,1,30,4.0,3,0,0,86,0
5958,3.0,1,41,2.0,3,0,0,77,0
5959,2.0,1,34,3.0,4,1,0,56,0
5961,3.0,2,31,1.0,5,1,0,74,0
5962,2.0,1,28,5.0,3,1,0,55,0
5963,2.0,1,33,3.0,8,1,0,55,0
5964,2.0,1,41,1.0,13,0,0,49,0
5965,2.0,2,33,1.0,5,0,0,62,0
5966,2.0,1,26,5.0,3,1,0,63,0
5967,3.0,1,40,1.0,2,1,0,56,0
5968,2.0,2,29,5.0,2,0,0,90,0
5969,2.0,1,33,1.0,10,0,0,45,0
5970,2.0,2,30,5.0,3,0,0,87,0
